grower_id,state,district,tehsil,language,device_type,grower_age,gender,grower_crop_calendar,product_scan,product_name,product_scan_datetime,grower_farm_size,offline_campaign_attended,campaign_attendance_date,crop,sowing_start,harvest_start,tillering_date,flowering_date,relevant_product,territory_id,rep_id,wa_messages_sent,wa_open_count,wa_click_count,wa_delivered_count,wa_last_sent_date,wa_first_sent_date,wa_ever_opened,wa_ever_clicked,wa_open_rate,wa_click_rate,rep_total_visits,rep_retailer_meetings,rep_grower_meetings,rep_campaigns_conducted,rep_last_visit_date,avg_stock_qty,min_stock_qty,retailers_with_stock,total_retailers,out_of_stock_count,pct_retailers_stocked,stock_status
GRW_00011,Madhya Pradesh,Ujjain,Ujjain_T091,Hindi,smartphone,35,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.29,0,,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0252,REP_0252,1.0,1.0,0.0,1.0,2026-02-09,2026-02-09,1.0,0.0,1.0,0.0,86,42,21,23,2026-03-28,130.0,120.0,2.0,2.0,0.0,1.0,healthy
GRW_00012,Madhya Pradesh,Sehore,Sehore_T068,Hindi,keypad,26,male,,0,,,1.92,1,2025-12-09,unknown,,,,,Tilt 250 EC,TER_0242,REP_0242,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,79,28,21,30,2026-03-13,55.5,53.0,2.0,2.0,0.0,1.0,healthy
GRW_00013,Karnataka,Kalaburagi,Kalaburagi_T016,Kannada,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.58,1,2026-03-05,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0052,REP_0052,1.0,0.0,0.0,1.0,2026-02-16,2026-02-16,0.0,0.0,0.0,0.0,91,49,13,29,2026-03-28,0.0,,,,0.0,0.0,out_of_stock
GRW_00014,Uttar Pradesh,Agra,Agra_T108,Hindi,unknown,39,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.07,1,2026-01-29,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0343,REP_0343,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,73,36,14,23,2026-03-10,29.0,29.0,1.0,1.0,0.0,1.0,healthy
GRW_00015,Maharashtra,Akola,Akola_T021,Marathi,keypad,63,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""safflower"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-02-20"", ""end"": ""2026-03-25""}, ""stages"": []}",0,,,1.12,1,2025-11-19,safflower,2025-10-15,2026-02-20,,,Score 250 EC,TER_0048,REP_0048,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,57,23,15,19,2026-01-25,121.0,121.0,1.0,1.0,0.0,1.0,healthy
GRW_00016,Karnataka,Kalaburagi,Kalaburagi_T023,Kannada,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.58,1,2025-11-30,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0085,REP_0085,1.0,0.0,0.0,1.0,2025-10-31,2025-10-31,0.0,0.0,0.0,0.0,62,29,19,14,2026-03-28,18.666666666666668,0.0,2.0,3.0,1.0,0.6666666666666666,watch
GRW_00017,Haryana,Sirsa,Sirsa_T002,Hindi,smartphone,67,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.5,1,2026-02-07,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0016,REP_0016,1.0,0.0,0.0,1.0,2026-01-31,2026-01-31,0.0,0.0,0.0,0.0,91,36,25,30,2026-02-21,110.0,77.0,3.0,3.0,0.0,1.0,healthy
GRW_00018,Bihar,Patna,Patna_T087,Hindi,smartphone,49,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""lentil"", ""sowing"": {""start"": ""2025-10-25"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-15"", ""end"": ""2026-04-20""}, ""stages"": []}",1,Cruiser 350 FS,2026-03-31 09:20:30,3.66,1,2026-03-29,lentil,2025-10-25,2026-03-15,,,Tilt 250 EC,TER_0265,REP_0265,1.0,0.0,0.0,1.0,2025-11-13,2025-11-13,0.0,0.0,0.0,0.0,72,33,19,20,2026-03-29,52.0,52.0,1.0,1.0,0.0,1.0,healthy
GRW_00019,Haryana,Karnal,Karnal_T036,Hindi,smartphone,25,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Tilt 250 EC,2026-01-18 15:49:36,0.79,1,2026-01-08,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0126,REP_0126,1.0,1.0,0.0,1.0,2025-12-24,2025-12-24,1.0,0.0,1.0,0.0,53,20,6,27,2026-03-28,0.0,,,,0.0,0.0,out_of_stock
GRW_00020,Rajasthan,Bikaner,Bikaner_T149,Hindi,smartphone,43,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,1.64,0,,mustard,2025-10-15,2026-02-15,,2026-01-20,Score 250 EC,TER_0470,REP_0470,1.0,0.0,0.0,1.0,2026-01-26,2026-01-26,0.0,0.0,0.0,0.0,62,32,18,12,2026-02-12,15.0,10.0,2.0,2.0,0.0,1.0,healthy
GRW_00021,Haryana,Karnal,Karnal_T003,Hindi,smartphone,50,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Movondo,2026-01-13 13:12:11,1.45,1,2026-01-08,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0027,REP_0027,1.0,0.0,0.0,1.0,2026-01-02,2026-01-02,0.0,0.0,0.0,0.0,55,11,19,25,2026-02-14,61.4,12.0,5.0,5.0,0.0,1.0,healthy
GRW_00022,Madhya Pradesh,Ujjain,Ujjain_T094,Hindi,keypad,72,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.49,1,2026-03-28,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0252,REP_0252,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,86,42,21,23,2026-03-28,97.25,77.0,4.0,4.0,0.0,1.0,healthy
GRW_00023,Maharashtra,Amravati,Amravati_T091,Marathi,smartphone,25,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.66,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0314,REP_0314,1.0,0.0,0.0,1.0,2026-02-17,2026-02-17,0.0,0.0,0.0,0.0,37,19,10,8,2026-03-15,42.0,0.0,3.0,4.0,1.0,0.75,healthy
GRW_00024,Karnataka,Vijayapura,Vijayapura_T132,Kannada,smartphone,28,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.37,1,2026-03-01,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0425,REP_0425,1.0,1.0,0.0,1.0,2025-10-24,2025-10-24,1.0,0.0,1.0,0.0,65,23,20,22,2026-03-14,99.0,70.0,2.0,2.0,0.0,1.0,healthy
GRW_00025,Gujarat,Ahmedabad,Ahmedabad_T042,Gujarati,keypad,24,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,3.24,1,2026-01-14,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0111,REP_0111,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,54,18,20,16,2026-03-08,52.0,0.0,3.0,4.0,1.0,0.75,healthy
GRW_00026,Punjab,Ludhiana,Ludhiana_T063,Punjabi,smartphone,47,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.45,0,,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0249,REP_0249,1.0,0.0,0.0,1.0,2025-11-13,2025-11-13,0.0,0.0,0.0,0.0,78,40,19,19,2026-03-17,33.0,33.0,1.0,1.0,0.0,1.0,healthy
GRW_00027,Rajasthan,Jaipur,Jaipur_T121,Hindi,smartphone,51,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Topik 15 WP,2026-03-08 13:42:51,2.51,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0416,REP_0416,1.0,0.0,0.0,1.0,2025-10-22,2025-10-22,0.0,0.0,0.0,0.0,85,41,16,28,2026-03-22,18.666666666666668,0.0,2.0,3.0,1.0,0.6666666666666666,watch
GRW_00028,Maharashtra,Amravati,Amravati_T142,Marathi,keypad,52,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.7,1,2026-02-23,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0479,REP_0479,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,40,21,7,12,2026-03-01,70.0,70.0,1.0,1.0,0.0,1.0,healthy
GRW_00029,Haryana,Rohtak,Rohtak_T116,Hindi,smartphone,46,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""barley"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-10"", ""end"": ""2026-04-05""}, ""stages"": []}",0,,,0.5,1,2026-01-31,barley,2025-11-01,2026-03-10,,,Tilt 250 EC,TER_0396,REP_0396,1.0,1.0,0.0,1.0,2025-11-24,2025-11-24,1.0,0.0,1.0,0.0,54,23,14,17,2026-03-22,70.0,32.0,3.0,3.0,0.0,1.0,healthy
GRW_00030,Rajasthan,Sikar,Sikar_T101,Hindi,keypad,30,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.4,1,2025-12-17,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0307,REP_0307,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,39,19,9,11,2026-03-19,109.0,32.0,3.0,3.0,0.0,1.0,healthy
GRW_00031,Punjab,Patiala,Patiala_T101,Punjabi,smartphone,62,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",1,Cruiser 350 FS,2026-03-07 13:03:59,7.31,1,2026-03-07,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0355,REP_0355,1.0,0.0,0.0,1.0,2026-02-12,2026-02-12,0.0,0.0,0.0,0.0,79,27,15,37,2026-03-29,39.0,33.0,2.0,2.0,0.0,1.0,healthy
GRW_00032,Uttar Pradesh,Lucknow,Lucknow_T044,Hindi,keypad,70,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""potato"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-01-20"", ""end"": ""2026-03-10""}, ""stages"": []}",0,,,0.8,1,2025-11-11,potato,2025-10-15,2026-01-20,,,Kavach 75 WP,TER_0105,REP_0105,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,97,37,29,31,2026-03-28,77.33333333333333,4.0,3.0,3.0,0.0,1.0,healthy
GRW_00033,Rajasthan,Sikar,Sikar_T083,Hindi,smartphone,49,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,1.18,1,2025-12-16,mustard,2025-10-15,2026-02-15,,2026-01-20,Score 250 EC,TER_0241,REP_0241,1.0,1.0,0.0,1.0,2025-12-07,2025-12-07,1.0,0.0,1.0,0.0,47,21,9,17,2026-03-07,54.75,16.0,4.0,4.0,0.0,1.0,healthy
GRW_00034,Haryana,Rohtak,Rohtak_T082,Hindi,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.05,1,2025-11-28,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0264,REP_0264,1.0,1.0,0.0,1.0,2025-10-16,2025-10-16,1.0,0.0,1.0,0.0,62,19,23,20,2026-03-29,45.666666666666664,3.0,3.0,3.0,0.0,1.0,healthy
GRW_00035,Rajasthan,Bikaner,Bikaner_T020,Hindi,smartphone,61,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.85,1,2026-02-13,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0074,REP_0074,1.0,0.0,0.0,1.0,2025-11-26,2025-11-26,0.0,0.0,0.0,0.0,57,21,14,22,2026-03-15,31.0,31.0,1.0,1.0,0.0,1.0,healthy
GRW_00036,Madhya Pradesh,Sehore,Sehore_T110,Hindi,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""lentil"", ""sowing"": {""start"": ""2025-10-25"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-15"", ""end"": ""2026-04-20""}, ""stages"": []}",1,Tilt 250 EC,2025-12-29 16:51:55,1.79,0,,lentil,2025-10-25,2026-03-15,,,Tilt 250 EC,TER_0374,REP_0374,1.0,0.0,0.0,1.0,2025-11-19,2025-11-19,0.0,0.0,0.0,0.0,5,1,3,1,2026-01-24,120.0,120.0,1.0,1.0,0.0,1.0,healthy
GRW_00037,Punjab,Patiala,Patiala_T001,Punjabi,smartphone,69,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,4.23,1,2025-12-24,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0025,REP_0025,1.0,0.0,0.0,1.0,2025-11-18,2025-11-18,0.0,0.0,0.0,0.0,66,34,12,20,2026-03-27,60.0,60.0,1.0,1.0,0.0,1.0,healthy
