grower_id,state,district,tehsil,language,device_type,grower_age,gender,grower_crop_calendar,product_scan,product_name,product_scan_datetime,grower_farm_size,offline_campaign_attended,campaign_attendance_date,crop,sowing_start,harvest_start,tillering_date,flowering_date
GRW_00011,Madhya Pradesh,Ujjain,Ujjain_T091,Hindi,smartphone,35,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.29,0,,chickpea,2025-10-20,2026-03-01,,
GRW_00012,Madhya Pradesh,Sehore,Sehore_T068,Hindi,keypad,26,male,,0,,,1.92,1,2025-12-09,unknown,,,,
GRW_00013,Karnataka,Kalaburagi,Kalaburagi_T016,Kannada,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.58,1,2026-03-05,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00014,Uttar Pradesh,Agra,Agra_T108,Hindi,unknown,39,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.07,1,2026-01-29,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00015,Maharashtra,Akola,Akola_T021,Marathi,keypad,63,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""safflower"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-02-20"", ""end"": ""2026-03-25""}, ""stages"": []}",0,,,1.12,1,2025-11-19,safflower,2025-10-15,2026-02-20,,
GRW_00016,Karnataka,Kalaburagi,Kalaburagi_T023,Kannada,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.58,1,2025-11-30,chickpea,2025-10-20,2026-03-01,,
GRW_00017,Haryana,Sirsa,Sirsa_T002,Hindi,smartphone,67,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.5,1,2026-02-07,chickpea,2025-10-20,2026-03-01,,
GRW_00018,Bihar,Patna,Patna_T087,Hindi,smartphone,49,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""lentil"", ""sowing"": {""start"": ""2025-10-25"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-15"", ""end"": ""2026-04-20""}, ""stages"": []}",1,Cruiser 350 FS,2026-03-31 09:20:30,3.66,1,2026-03-29,lentil,2025-10-25,2026-03-15,,
GRW_00019,Haryana,Karnal,Karnal_T036,Hindi,smartphone,25,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Tilt 250 EC,2026-01-18 15:49:36,0.79,1,2026-01-08,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00020,Rajasthan,Bikaner,Bikaner_T149,Hindi,smartphone,43,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,1.64,0,,mustard,2025-10-15,2026-02-15,,2026-01-20
GRW_00021,Haryana,Karnal,Karnal_T003,Hindi,smartphone,50,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Movondo,2026-01-13 13:12:11,1.45,1,2026-01-08,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00022,Madhya Pradesh,Ujjain,Ujjain_T094,Hindi,keypad,72,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.49,1,2026-03-28,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00023,Maharashtra,Amravati,Amravati_T091,Marathi,smartphone,25,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.66,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00024,Karnataka,Vijayapura,Vijayapura_T132,Kannada,smartphone,28,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.37,1,2026-03-01,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00025,Gujarat,Ahmedabad,Ahmedabad_T042,Gujarati,keypad,24,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,3.24,1,2026-01-14,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00026,Punjab,Ludhiana,Ludhiana_T063,Punjabi,smartphone,47,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.45,0,,chickpea,2025-10-20,2026-03-01,,
GRW_00027,Rajasthan,Jaipur,Jaipur_T121,Hindi,smartphone,51,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Topik 15 WP,2026-03-08 13:42:51,2.51,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00028,Maharashtra,Amravati,Amravati_T142,Marathi,keypad,52,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.7,1,2026-02-23,chickpea,2025-10-20,2026-03-01,,
GRW_00029,Haryana,Rohtak,Rohtak_T116,Hindi,smartphone,46,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""barley"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-10"", ""end"": ""2026-04-05""}, ""stages"": []}",0,,,0.5,1,2026-01-31,barley,2025-11-01,2026-03-10,,
GRW_00030,Rajasthan,Sikar,Sikar_T101,Hindi,keypad,30,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.4,1,2025-12-17,chickpea,2025-10-20,2026-03-01,,
GRW_00031,Punjab,Patiala,Patiala_T101,Punjabi,smartphone,62,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",1,Cruiser 350 FS,2026-03-07 13:03:59,7.31,1,2026-03-07,chickpea,2025-10-20,2026-03-01,,
GRW_00032,Uttar Pradesh,Lucknow,Lucknow_T044,Hindi,keypad,70,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""potato"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-01-20"", ""end"": ""2026-03-10""}, ""stages"": []}",0,,,0.8,1,2025-11-11,potato,2025-10-15,2026-01-20,,
GRW_00033,Rajasthan,Sikar,Sikar_T083,Hindi,smartphone,49,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,1.18,1,2025-12-16,mustard,2025-10-15,2026-02-15,,2026-01-20
GRW_00034,Haryana,Rohtak,Rohtak_T082,Hindi,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.05,1,2025-11-28,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00035,Rajasthan,Bikaner,Bikaner_T020,Hindi,smartphone,61,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.85,1,2026-02-13,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00036,Madhya Pradesh,Sehore,Sehore_T110,Hindi,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""lentil"", ""sowing"": {""start"": ""2025-10-25"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-15"", ""end"": ""2026-04-20""}, ""stages"": []}",1,Tilt 250 EC,2025-12-29 16:51:55,1.79,0,,lentil,2025-10-25,2026-03-15,,
GRW_00037,Punjab,Patiala,Patiala_T001,Punjabi,smartphone,69,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,4.23,1,2025-12-24,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00038,Maharashtra,Amravati,Amravati_T099,Marathi,smartphone,60,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,3.0,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00039,Maharashtra,Jalgaon,Jalgaon_T114,Marathi,keypad,22,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.21,0,,chickpea,2025-10-20,2026-03-01,,
GRW_00040,Uttar Pradesh,Meerut,Meerut_T108,Hindi,smartphone,64,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.36,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00041,Rajasthan,Bharatpur,Bharatpur_T139,Hindi,smartphone,72,male,,0,,,2.59,1,2025-09-30,unknown,,,,
GRW_00042,Gujarat,Ahmedabad,Ahmedabad_T068,Gujarati,smartphone,35,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",1,Score 250 EC,2026-03-11 16:35:31,1.14,1,2026-03-04,mustard,2025-10-15,2026-02-15,,2026-01-20
GRW_00043,Haryana,Sirsa,Sirsa_T096,Hindi,smartphone,37,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.64,1,2025-12-06,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00044,Uttar Pradesh,Agra,Agra_T102,Hindi,unknown,46,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,2.17,0,,chickpea,2025-10-20,2026-03-01,,
GRW_00045,Maharashtra,Jalgaon,Jalgaon_T108,Marathi,smartphone,40,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,2.92,1,2026-02-03,chickpea,2025-10-20,2026-03-01,,
GRW_00046,Gujarat,Mehsana,Mehsana_T025,Gujarati,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,1.64,1,2025-10-30,mustard,2025-10-15,2026-02-15,,2026-01-20
GRW_00047,Punjab,Ludhiana,Ludhiana_T100,Punjabi,smartphone,65,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""potato"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-01-20"", ""end"": ""2026-03-10""}, ""stages"": []}",0,,,2.56,1,2025-11-03,potato,2025-10-15,2026-01-20,,
GRW_00048,Haryana,Rohtak,Rohtak_T072,Hindi,smartphone,46,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.9,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00049,Maharashtra,Jalgaon,Jalgaon_T064,Marathi,smartphone,26,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,2.1,1,2026-03-06,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00050,Madhya Pradesh,Indore,Indore_T073,Hindi,smartphone,74,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.92,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00051,Madhya Pradesh,Ratlam,Ratlam_T080,Hindi,smartphone,31,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",1,Amistar 250 SC,2026-03-18 14:05:09,0.95,1,2026-03-14,chickpea,2025-10-20,2026-03-01,,
GRW_00052,Punjab,Ludhiana,Ludhiana_T137,Punjabi,smartphone,35,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""potato"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-01-20"", ""end"": ""2026-03-10""}, ""stages"": []}",1,Amistar 250 SC,2025-10-02 17:00:29,1.87,1,2025-10-02,potato,2025-10-15,2026-01-20,,
GRW_00053,West Bengal,Nadia,Nadia_T122,Bengali,smartphone,38,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",1,Tilt 250 EC,2025-11-14 16:57:10,2.24,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00054,Punjab,Patiala,Patiala_T021,Punjabi,smartphone,68,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,1.64,0,,chickpea,2025-10-20,2026-03-01,,
GRW_00055,Maharashtra,Akola,Akola_T140,Marathi,smartphone,53,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.64,1,2026-03-08,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
GRW_00056,Maharashtra,Akola,Akola_T102,Marathi,smartphone,22,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.83,1,2026-02-26,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20
