grower_id,state,district,tehsil,territory_id,rep_id,crop,relevant_product,language,device_type,current_crop_stage,stock_status,reference_date,gender,age_bucket,farm_size_bucket,days_to_tillering,days_to_flowering,days_to_harvest,days_since_sowing,in_critical_window,wa_open_rate,wa_click_rate,wa_messages_sent,engagement_score,has_any_engagement,days_since_last_message,product_scan_flag,offline_attended_flag,device_score,grower_farm_size,grower_age,can_receive_whatsapp,can_receive_sms,needs_ivr_or_rep,stock_urgency_score,stock_available,pct_retailers_stocked,rep_coverage_score,rep_campaign_ratio,lang_Bengali,lang_Gujarati,lang_Hindi,lang_Kannada,lang_Marathi,lang_Punjabi,farm_size_bucket,farm_small,farm_medium,farm_large,farm_very_large,wa_ever_opened,wa_ever_clicked
GRW_00016,Karnataka,Kalaburagi,Kalaburagi_T023,TER_0085,REP_0085,chickpea,Actara 25 WG,Kannada,smartphone,unknown,watch,2025-10-31,male,elder,small,0.0,0.0,121.0,11.0,0,0.0,0.0,1.0,0.0,1,152.0,0,1,2,1.58,71,1,1,0,0.6,1,0.6666666666666666,0.47692307692307695,0.22580645161290322,False,False,False,True,False,False,small,True,False,False,False,0.0,0.0
GRW_00017,Haryana,Sirsa,Sirsa_T002,TER_0016,REP_0016,chickpea,Actara 25 WG,Hindi,smartphone,unknown,healthy,2026-01-31,female,elder,small,0.0,0.0,29.0,103.0,0,0.0,0.0,1.0,0.0,1,60.0,0,1,2,1.5,67,1,1,0,1.0,1,1.0,0.7,0.32967032967032966,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00018,Bihar,Patna,Patna_T087,TER_0265,REP_0265,lentil,Tilt 250 EC,Hindi,smartphone,unknown,healthy,2025-11-13,male,mid,medium,0.0,0.0,122.0,19.0,0,0.0,0.0,1.0,0.0,1,139.0,1,1,2,3.66,49,1,1,0,1.0,1,1.0,0.5538461538461539,0.2777777777777778,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00019,Haryana,Karnal,Karnal_T036,TER_0126,REP_0126,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,out_of_stock,2025-12-24,male,young,small,22.0,58.0,86.0,53.0,0,1.0,0.0,1.0,0.4,1,98.0,1,1,2,0.79,25,1,1,0,0.0,0,0.0,0.4076923076923077,0.5094339622641509,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00020,Rajasthan,Bikaner,Bikaner_T149,TER_0470,REP_0470,mustard,Score 250 EC,Hindi,smartphone,unknown,healthy,2026-01-26,female,mid,small,0.0,-6.0,20.0,103.0,0,0.0,0.0,1.0,0.0,0,65.0,0,0,2,1.64,43,1,1,0,1.0,1,1.0,0.47692307692307695,0.1935483870967742,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00021,Haryana,Karnal,Karnal_T003,TER_0027,REP_0027,wheat,Tilt 250 EC,Hindi,smartphone,tillering_soon,healthy,2026-01-02,male,mid,small,13.0,49.0,77.0,62.0,0,0.0,0.0,1.0,0.0,1,89.0,1,1,2,1.45,50,1,1,0,1.0,1,1.0,0.4230769230769231,0.45454545454545453,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00022,Madhya Pradesh,Ujjain,Ujjain_T094,TER_0252,REP_0252,wheat,Tilt 250 EC,Hindi,keypad,post_flowering,healthy,2026-03-01,male,elder,small,-45.0,-9.0,19.0,120.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,1.49,72,0,1,1,1.0,1,1.0,0.6615384615384615,0.26744186046511625,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00023,Maharashtra,Amravati,Amravati_T091,TER_0314,REP_0314,wheat,Tilt 250 EC,Marathi,smartphone,flowering_approaching,healthy,2026-02-17,female,young,small,-33.0,3.0,31.0,108.0,1,0.0,0.0,1.0,0.0,0,43.0,0,0,2,0.66,25,1,1,0,1.0,1,0.75,0.2846153846153846,0.21621621621621623,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00024,Karnataka,Vijayapura,Vijayapura_T132,TER_0425,REP_0425,wheat,Tilt 250 EC,Kannada,smartphone,early_vegetative,healthy,2025-10-24,male,young,medium,83.0,119.0,147.0,-8.0,0,1.0,0.0,1.0,0.4,1,159.0,0,1,2,2.37,28,1,1,0,1.0,1,1.0,0.5,0.3384615384615385,False,False,False,True,False,False,medium,False,True,False,False,1.0,0.0
GRW_00025,Gujarat,Ahmedabad,Ahmedabad_T042,TER_0111,REP_0111,wheat,Tilt 250 EC,Gujarati,keypad,post_flowering,healthy,2026-03-01,female,young,medium,-45.0,-9.0,19.0,120.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,3.24,24,0,1,1,1.0,1,0.75,0.4153846153846154,0.2962962962962963,False,True,False,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00026,Punjab,Ludhiana,Ludhiana_T063,TER_0249,REP_0249,chickpea,Actara 25 WG,Punjabi,smartphone,unknown,healthy,2025-11-13,male,mid,small,0.0,0.0,108.0,24.0,0,0.0,0.0,1.0,0.0,0,139.0,0,0,2,1.45,47,1,1,0,1.0,1,1.0,0.6,0.24358974358974358,False,False,False,False,False,True,small,True,False,False,False,0.0,0.0
GRW_00027,Rajasthan,Jaipur,Jaipur_T121,TER_0416,REP_0416,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,watch,2025-10-22,male,senior,medium,85.0,121.0,149.0,-10.0,0,0.0,0.0,1.0,0.0,1,161.0,1,0,2,2.51,51,1,1,0,0.6,1,0.6666666666666666,0.6538461538461539,0.32941176470588235,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00028,Maharashtra,Amravati,Amravati_T142,TER_0479,REP_0479,chickpea,Actara 25 WG,Marathi,keypad,unknown,healthy,2026-03-01,female,senior,small,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,1.7,52,0,1,1,1.0,1,1.0,0.3076923076923077,0.3,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00029,Haryana,Rohtak,Rohtak_T116,TER_0396,REP_0396,barley,Tilt 250 EC,Hindi,smartphone,unknown,healthy,2025-11-24,male,mid,small,0.0,0.0,106.0,23.0,0,1.0,0.0,1.0,0.4,1,128.0,0,1,2,0.5,46,1,1,0,1.0,1,1.0,0.4153846153846154,0.3148148148148148,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00030,Rajasthan,Sikar,Sikar_T101,TER_0307,REP_0307,chickpea,Actara 25 WG,Hindi,keypad,unknown,healthy,2026-03-01,male,young,small,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,1.4,30,0,1,1,1.0,1,1.0,0.3,0.28205128205128205,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00031,Punjab,Patiala,Patiala_T101,TER_0355,REP_0355,chickpea,Actara 25 WG,Punjabi,smartphone,unknown,healthy,2026-02-12,male,senior,large,0.0,0.0,17.0,115.0,0,0.0,0.0,1.0,0.0,1,48.0,1,1,2,7.31,62,1,1,0,1.0,1,1.0,0.6076923076923076,0.46835443037974683,False,False,False,False,False,True,large,False,False,True,False,0.0,0.0
GRW_00032,Uttar Pradesh,Lucknow,Lucknow_T044,TER_0105,REP_0105,potato,Kavach 75 WP,Hindi,keypad,unknown,healthy,2026-03-01,male,elder,small,0.0,0.0,-40.0,137.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,0.8,70,0,1,1,1.0,1,1.0,0.7461538461538462,0.31958762886597936,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00033,Rajasthan,Sikar,Sikar_T083,TER_0241,REP_0241,mustard,Score 250 EC,Hindi,smartphone,unknown,healthy,2025-12-07,female,mid,small,0.0,44.0,70.0,53.0,0,1.0,0.0,1.0,0.4,1,115.0,0,1,2,1.18,49,1,1,0,1.0,1,1.0,0.36153846153846153,0.3617021276595745,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00034,Haryana,Rohtak,Rohtak_T082,TER_0264,REP_0264,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-10-16,male,mid,medium,91.0,127.0,155.0,-16.0,0,1.0,0.0,1.0,0.4,1,167.0,0,1,2,2.05,40,1,1,0,1.0,1,1.0,0.47692307692307695,0.3225806451612903,False,False,True,False,False,False,medium,False,True,False,False,1.0,0.0
GRW_00035,Rajasthan,Bikaner,Bikaner_T020,TER_0074,REP_0074,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-11-26,female,senior,small,50.0,86.0,114.0,25.0,0,0.0,0.0,1.0,0.0,1,126.0,0,1,2,0.85,61,1,1,0,1.0,1,1.0,0.43846153846153846,0.38596491228070173,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00036,Madhya Pradesh,Sehore,Sehore_T110,TER_0374,REP_0374,lentil,Tilt 250 EC,Hindi,smartphone,unknown,healthy,2025-11-19,male,mid,small,0.0,0.0,116.0,25.0,0,0.0,0.0,1.0,0.0,1,133.0,1,0,2,1.79,40,1,1,0,1.0,1,1.0,0.038461538461538464,0.2,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00037,Punjab,Patiala,Patiala_T001,TER_0025,REP_0025,wheat,Tilt 250 EC,Punjabi,smartphone,early_vegetative,healthy,2025-11-18,male,elder,medium,58.0,94.0,122.0,17.0,0,0.0,0.0,1.0,0.0,1,134.0,0,1,2,4.23,69,1,1,0,1.0,1,1.0,0.5076923076923077,0.30303030303030304,False,False,False,False,False,True,medium,False,True,False,False,0.0,0.0
GRW_00038,Maharashtra,Amravati,Amravati_T099,TER_0314,REP_0314,wheat,Tilt 250 EC,Marathi,smartphone,flowering_approaching,healthy,2026-01-17,male,senior,medium,-2.0,34.0,62.0,77.0,0,1.0,0.0,1.0,0.4,1,74.0,0,0,2,3.0,60,1,1,0,1.0,1,0.75,0.2846153846153846,0.21621621621621623,False,False,False,False,True,False,medium,False,True,False,False,1.0,0.0
GRW_00039,Maharashtra,Jalgaon,Jalgaon_T114,TER_0368,REP_0368,chickpea,Actara 25 WG,Marathi,keypad,unknown,healthy,2026-03-01,male,young,small,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,0,999.0,0,0,1,1.21,22,0,1,1,1.0,1,1.0,0.35384615384615387,0.34782608695652173,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00040,Uttar Pradesh,Meerut,Meerut_T108,TER_0360,REP_0360,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-10-17,male,senior,small,90.0,126.0,154.0,-15.0,0,1.0,0.0,1.0,0.4,1,166.0,0,0,2,1.36,64,1,1,0,1.0,1,1.0,0.6923076923076923,0.35555555555555557,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00041,Rajasthan,Bharatpur,Bharatpur_T139,TER_0400,REP_0400,unknown,Tilt 250 EC,Hindi,smartphone,unknown,healthy,2026-02-26,male,elder,medium,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1,34.0,0,1,2,2.59,72,1,1,0,1.0,1,1.0,0.4230769230769231,0.38181818181818183,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00042,Gujarat,Ahmedabad,Ahmedabad_T068,TER_0210,REP_0210,mustard,Score 250 EC,Gujarati,smartphone,unknown,watch,2025-11-10,female,young,small,0.0,71.0,97.0,26.0,0,0.0,0.0,1.0,0.0,1,142.0,1,1,2,1.14,35,1,1,0,0.6,1,0.5,0.4153846153846154,0.37037037037037035,False,True,False,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00043,Haryana,Sirsa,Sirsa_T096,TER_0313,REP_0313,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-10-16,female,mid,small,91.0,127.0,155.0,-16.0,0,0.0,0.0,1.0,0.0,1,167.0,0,1,2,1.64,37,1,1,0,1.0,1,1.0,0.45384615384615384,0.3389830508474576,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00044,Uttar Pradesh,Agra,Agra_T102,TER_0310,REP_0310,chickpea,Actara 25 WG,Hindi,unknown,unknown,healthy,2026-03-01,male,mid,medium,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,0,999.0,0,0,0,2.17,46,0,0,1,1.0,1,1.0,0.3230769230769231,0.2857142857142857,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00045,Maharashtra,Jalgaon,Jalgaon_T108,TER_0368,REP_0368,chickpea,Actara 25 WG,Marathi,smartphone,unknown,healthy,2026-01-08,female,mid,medium,0.0,0.0,52.0,80.0,0,1.0,0.0,1.0,0.4,1,83.0,0,1,2,2.92,40,1,1,0,1.0,1,1.0,0.35384615384615387,0.34782608695652173,False,False,False,False,True,False,medium,False,True,False,False,1.0,0.0
GRW_00046,Gujarat,Mehsana,Mehsana_T025,TER_0097,REP_0097,mustard,Score 250 EC,Gujarati,smartphone,unknown,healthy,2025-10-27,male,elder,small,0.0,85.0,111.0,12.0,0,0.0,0.0,1.0,0.0,1,156.0,0,1,2,1.64,71,1,1,0,1.0,1,1.0,0.4230769230769231,0.2727272727272727,False,True,False,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00047,Punjab,Ludhiana,Ludhiana_T100,TER_0348,REP_0348,potato,Kavach 75 WP,Punjabi,smartphone,unknown,healthy,2025-10-19,male,senior,medium,0.0,0.0,93.0,4.0,0,0.0,0.0,1.0,0.0,1,164.0,0,1,2,2.56,65,1,1,0,1.0,1,1.0,0.49230769230769234,0.265625,False,False,False,False,False,True,medium,False,True,False,False,0.0,0.0
GRW_00048,Haryana,Rohtak,Rohtak_T072,TER_0231,REP_0231,wheat,Tilt 250 EC,Hindi,smartphone,tillering_soon,watch,2026-01-11,male,mid,small,4.0,40.0,68.0,71.0,0,0.0,0.0,1.0,0.0,0,80.0,0,0,2,1.9,46,1,1,0,0.6,1,0.6666666666666666,0.6,0.32051282051282054,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00049,Maharashtra,Jalgaon,Jalgaon_T064,TER_0203,REP_0203,wheat,Tilt 250 EC,Marathi,smartphone,flowering_approaching,healthy,2026-01-25,male,young,medium,-10.0,26.0,54.0,85.0,0,0.0,0.0,1.0,0.0,1,66.0,0,1,2,2.1,26,1,1,0,1.0,1,1.0,0.23846153846153847,0.3225806451612903,False,False,False,False,True,False,medium,False,True,False,False,0.0,0.0
GRW_00050,Madhya Pradesh,Indore,Indore_T073,TER_0254,REP_0254,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-10-17,male,elder,small,90.0,126.0,154.0,-15.0,0,1.0,0.0,1.0,0.4,1,166.0,0,0,2,1.92,74,1,1,0,1.0,1,1.0,0.35384615384615387,0.30434782608695654,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00051,Madhya Pradesh,Ratlam,Ratlam_T080,TER_0238,REP_0238,chickpea,Actara 25 WG,Hindi,smartphone,unknown,healthy,2026-01-06,male,young,small,0.0,0.0,54.0,78.0,0,1.0,0.0,1.0,0.4,1,85.0,1,1,2,0.95,31,1,1,0,1.0,1,1.0,0.6692307692307692,0.3448275862068966,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00052,Punjab,Ludhiana,Ludhiana_T137,TER_0447,REP_0447,potato,Kavach 75 WP,Punjabi,smartphone,unknown,healthy,2025-11-02,male,young,small,0.0,0.0,79.0,18.0,0,0.0,0.0,1.0,0.0,1,150.0,1,1,2,1.87,35,1,1,0,1.0,1,1.0,0.3384615384615385,0.3409090909090909,False,False,False,False,False,True,small,True,False,False,False,0.0,0.0
GRW_00053,West Bengal,Nadia,Nadia_T122,TER_0455,REP_0455,wheat,Tilt 250 EC,Bengali,smartphone,early_vegetative,out_of_stock,2025-11-10,male,mid,medium,66.0,102.0,130.0,9.0,0,0.0,0.0,1.0,0.0,1,142.0,1,0,2,2.24,38,1,1,0,0.0,0,0.0,0.5461538461538461,0.30985915492957744,True,False,False,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00054,Punjab,Patiala,Patiala_T021,TER_0091,REP_0091,chickpea,Actara 25 WG,Punjabi,smartphone,unknown,healthy,2026-03-17,male,elder,small,0.0,0.0,-16.0,148.0,0,0.0,0.0,1.0,0.0,0,15.0,0,0,2,1.64,68,1,1,0,1.0,1,1.0,0.4230769230769231,0.2909090909090909,False,False,False,False,False,True,small,True,False,False,False,0.0,0.0
GRW_00055,Maharashtra,Akola,Akola_T140,TER_0477,REP_0477,wheat,Tilt 250 EC,Marathi,smartphone,post_flowering,healthy,2026-02-27,male,senior,small,-43.0,-7.0,21.0,118.0,0,0.0,0.0,1.0,0.0,1,33.0,0,1,2,1.64,53,1,1,0,1.0,1,1.0,0.6230769230769231,0.4567901234567901,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00056,Maharashtra,Akola,Akola_T102,TER_0312,REP_0312,wheat,Tilt 250 EC,Marathi,smartphone,early_vegetative,out_of_stock,2025-10-16,male,young,small,91.0,127.0,155.0,-16.0,0,0.0,0.0,1.0,0.0,1,167.0,0,1,2,1.83,22,1,1,0,0.0,0,0.0,0.46153846153846156,0.35,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00057,Haryana,Hisar,Hisar_T116,TER_0398,REP_0398,chickpea,Actara 25 WG,Hindi,smartphone,unknown,watch,2026-01-17,male,senior,small,0.0,0.0,43.0,89.0,0,0.0,0.0,1.0,0.0,1,74.0,0,1,2,1.15,52,1,1,0,0.6,1,0.5,0.18461538461538463,0.4166666666666667,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00058,Maharashtra,Akola,Akola_T067,TER_0180,REP_0180,wheat,Tilt 250 EC,Marathi,smartphone,early_vegetative,out_of_stock,2025-11-25,female,young,small,51.0,87.0,115.0,24.0,0,0.0,0.0,1.0,0.0,1,127.0,1,0,2,0.71,30,1,1,0,0.0,0,0.0,0.4076923076923077,0.41509433962264153,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00059,Haryana,Rohtak,Rohtak_T024,TER_0099,REP_0099,chickpea,Actara 25 WG,Hindi,smartphone,unknown,healthy,2025-10-12,male,elder,medium,0.0,0.0,140.0,-8.0,0,0.0,0.0,1.0,0.0,1,171.0,1,0,2,4.38,71,1,1,0,1.0,1,1.0,0.2923076923076923,0.42105263157894735,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00060,Bihar,Muzaffarpur,Muzaffarpur_T137,TER_0457,REP_0457,chickpea,Actara 25 WG,Hindi,keypad,unknown,healthy,2026-03-01,female,elder,medium,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,0,999.0,0,0,1,2.58,68,0,1,1,1.0,1,1.0,0.27692307692307694,0.3611111111111111,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00061,Uttar Pradesh,Varanasi,Varanasi_T023,TER_0069,REP_0069,mustard,Score 250 EC,Hindi,smartphone,unknown,healthy,2025-10-19,male,senior,medium,0.0,93.0,119.0,4.0,0,0.0,0.0,1.0,0.0,1,164.0,0,1,2,2.24,58,1,1,0,1.0,1,1.0,0.4461538461538462,0.3793103448275862,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00062,Punjab,Bathinda,Bathinda_T165,TER_0484,REP_0484,chickpea,Actara 25 WG,Punjabi,smartphone,unknown,healthy,2025-10-24,male,mid,small,0.0,0.0,128.0,4.0,0,0.0,0.0,1.0,0.0,1,159.0,1,1,2,1.37,45,1,1,0,1.0,1,1.0,0.5307692307692308,0.37681159420289856,False,False,False,False,False,True,small,True,False,False,False,0.0,0.0
GRW_00063,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T106,TER_0339,REP_0339,mustard,Score 250 EC,Hindi,smartphone,unknown,healthy,2025-10-08,male,senior,small,0.0,104.0,130.0,-7.0,0,0.0,0.0,1.0,0.0,1,175.0,0,1,2,0.41,63,1,1,0,1.0,1,1.0,0.34615384615384615,0.4,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00064,Haryana,Karnal,Karnal_T112,TER_0357,REP_0357,mustard,Score 250 EC,Hindi,smartphone,unknown,out_of_stock,2025-11-06,male,senior,medium,0.0,75.0,101.0,22.0,0,1.0,0.0,1.0,0.4,1,146.0,0,1,2,2.63,63,1,1,0,0.0,0,0.0,0.6076923076923076,0.35443037974683544,False,False,True,False,False,False,medium,False,True,False,False,1.0,0.0
