message_id,grower_id,send_date,crop,relevant_product,state,district,territory_id,prior_open_rate,prior_click_rate,prior_msg_count,scan_before_send,attended_before_send,days_to_flowering,days_to_harvest,days_to_tillering,in_critical_window,device_score,grower_farm_size,grower_age,stock_urgency_score,rep_coverage_score,pct_retailers_stocked,rep_campaign_ratio,label_opened,label_clicked
WAM_RABI25_00011,GRW_00016,2025-10-31,chickpea,Actara 25 WG,Karnataka,Kalaburagi,TER_0085,0.0,0.0,0,0,0,0.0,121.0,0.0,0,2,1.58,71,0.6,0.47692307692307695,0.6666666666666666,0.22580645161290322,0,0
WAM_RABI25_00012,GRW_00017,2026-01-31,chickpea,Actara 25 WG,Haryana,Sirsa,TER_0016,0.0,0.0,0,0,0,0.0,29.0,0.0,0,2,1.5,67,1.0,0.7,1.0,0.32967032967032966,0,0
WAM_RABI25_00013,GRW_00018,2025-11-13,lentil,Tilt 250 EC,Bihar,Patna,TER_0265,0.0,0.0,0,0,0,0.0,122.0,0.0,0,2,3.66,49,1.0,0.5538461538461539,1.0,0.2777777777777778,0,0
WAM_RABI25_00014,GRW_00019,2025-12-24,wheat,Tilt 250 EC,Haryana,Karnal,TER_0126,0.0,0.0,0,0,0,58.0,86.0,22.0,0,2,0.79,25,0.0,0.4076923076923077,0.0,0.5094339622641509,1,0
WAM_RABI25_00015,GRW_00020,2026-01-26,mustard,Score 250 EC,Rajasthan,Bikaner,TER_0470,0.0,0.0,0,0,0,-6.0,20.0,0.0,0,2,1.64,43,1.0,0.47692307692307695,1.0,0.1935483870967742,0,0
WAM_RABI25_00016,GRW_00021,2026-01-02,wheat,Tilt 250 EC,Haryana,Karnal,TER_0027,0.0,0.0,0,0,0,49.0,77.0,13.0,0,2,1.45,50,1.0,0.4230769230769231,1.0,0.45454545454545453,0,0
WAM_RABI25_00017,GRW_00023,2026-02-17,wheat,Tilt 250 EC,Maharashtra,Amravati,TER_0314,0.0,0.0,0,0,0,3.0,31.0,-33.0,1,2,0.66,25,1.0,0.2846153846153846,0.75,0.21621621621621623,0,0
WAM_RABI25_00018,GRW_00024,2025-10-24,wheat,Tilt 250 EC,Karnataka,Vijayapura,TER_0425,0.0,0.0,0,0,0,119.0,147.0,83.0,0,2,2.37,28,1.0,0.5,1.0,0.3384615384615385,1,0
WAM_RABI25_00019,GRW_00026,2025-11-13,chickpea,Actara 25 WG,Punjab,Ludhiana,TER_0249,0.0,0.0,0,0,0,0.0,108.0,0.0,0,2,1.45,47,1.0,0.6,1.0,0.24358974358974358,0,0
WAM_RABI25_00020,GRW_00027,2025-10-22,wheat,Tilt 250 EC,Rajasthan,Jaipur,TER_0416,0.0,0.0,0,0,0,121.0,149.0,85.0,0,2,2.51,51,0.6,0.6538461538461539,0.6666666666666666,0.32941176470588235,0,0
WAM_RABI25_00021,GRW_00029,2025-11-24,barley,Tilt 250 EC,Haryana,Rohtak,TER_0396,0.0,0.0,0,0,0,0.0,106.0,0.0,0,2,0.5,46,1.0,0.4153846153846154,1.0,0.3148148148148148,1,0
WAM_RABI25_00022,GRW_00031,2026-02-12,chickpea,Actara 25 WG,Punjab,Patiala,TER_0355,0.0,0.0,0,0,0,0.0,17.0,0.0,0,2,7.31,62,1.0,0.6076923076923076,1.0,0.46835443037974683,0,0
WAM_RABI25_00023,GRW_00033,2025-12-07,mustard,Score 250 EC,Rajasthan,Sikar,TER_0241,0.0,0.0,0,0,0,44.0,70.0,0.0,0,2,1.18,49,1.0,0.36153846153846153,1.0,0.3617021276595745,1,0
WAM_RABI25_00024,GRW_00034,2025-10-16,wheat,Tilt 250 EC,Haryana,Rohtak,TER_0264,0.0,0.0,0,0,0,127.0,155.0,91.0,0,2,2.05,40,1.0,0.47692307692307695,1.0,0.3225806451612903,1,0
WAM_RABI25_00025,GRW_00035,2025-11-26,wheat,Tilt 250 EC,Rajasthan,Bikaner,TER_0074,0.0,0.0,0,0,0,86.0,114.0,50.0,0,2,0.85,61,1.0,0.43846153846153846,1.0,0.38596491228070173,0,0
WAM_RABI25_00026,GRW_00036,2025-11-19,lentil,Tilt 250 EC,Madhya Pradesh,Sehore,TER_0374,0.0,0.0,0,0,0,0.0,116.0,0.0,0,2,1.79,40,1.0,0.038461538461538464,1.0,0.2,0,0
WAM_RABI25_00027,GRW_00037,2025-11-18,wheat,Tilt 250 EC,Punjab,Patiala,TER_0025,0.0,0.0,0,0,0,94.0,122.0,58.0,0,2,4.23,69,1.0,0.5076923076923077,1.0,0.30303030303030304,0,0
WAM_RABI25_00028,GRW_00038,2026-01-17,wheat,Tilt 250 EC,Maharashtra,Amravati,TER_0314,0.0,0.0,0,0,0,34.0,62.0,-2.0,0,2,3.0,60,1.0,0.2846153846153846,0.75,0.21621621621621623,1,0
WAM_RABI25_00029,GRW_00040,2025-10-17,wheat,Tilt 250 EC,Uttar Pradesh,Meerut,TER_0360,0.0,0.0,0,0,0,126.0,154.0,90.0,0,2,1.36,64,1.0,0.6923076923076923,1.0,0.35555555555555557,1,0
WAM_RABI25_00030,GRW_00041,2026-02-26,unknown,Tilt 250 EC,Rajasthan,Bharatpur,TER_0400,0.0,0.0,0,0,1,0.0,0.0,0.0,0,2,2.59,72,1.0,0.4230769230769231,1.0,0.38181818181818183,0,0
WAM_RABI25_00031,GRW_00042,2025-11-10,mustard,Score 250 EC,Gujarat,Ahmedabad,TER_0210,0.0,0.0,0,0,0,71.0,97.0,0.0,0,2,1.14,35,0.6,0.4153846153846154,0.5,0.37037037037037035,0,0
WAM_RABI25_00032,GRW_00043,2025-10-16,wheat,Tilt 250 EC,Haryana,Sirsa,TER_0313,0.0,0.0,0,0,0,127.0,155.0,91.0,0,2,1.64,37,1.0,0.45384615384615384,1.0,0.3389830508474576,0,0
WAM_RABI25_00033,GRW_00045,2026-01-08,chickpea,Actara 25 WG,Maharashtra,Jalgaon,TER_0368,0.0,0.0,0,0,0,0.0,52.0,0.0,0,2,2.92,40,1.0,0.35384615384615387,1.0,0.34782608695652173,1,0
WAM_RABI25_00034,GRW_00046,2025-10-27,mustard,Score 250 EC,Gujarat,Mehsana,TER_0097,0.0,0.0,0,0,0,85.0,111.0,0.0,0,2,1.64,71,1.0,0.4230769230769231,1.0,0.2727272727272727,0,0
WAM_RABI25_00035,GRW_00047,2025-10-19,potato,Kavach 75 WP,Punjab,Ludhiana,TER_0348,0.0,0.0,0,0,0,0.0,93.0,0.0,0,2,2.56,65,1.0,0.49230769230769234,1.0,0.265625,0,0
WAM_RABI25_00036,GRW_00048,2026-01-11,wheat,Tilt 250 EC,Haryana,Rohtak,TER_0231,0.0,0.0,0,0,0,40.0,68.0,4.0,0,2,1.9,46,0.6,0.6,0.6666666666666666,0.32051282051282054,0,0
WAM_RABI25_00037,GRW_00049,2026-01-25,wheat,Tilt 250 EC,Maharashtra,Jalgaon,TER_0203,0.0,0.0,0,0,0,26.0,54.0,-10.0,0,2,2.1,26,1.0,0.23846153846153847,1.0,0.3225806451612903,0,0
WAM_RABI25_00038,GRW_00050,2025-10-17,wheat,Tilt 250 EC,Madhya Pradesh,Indore,TER_0254,0.0,0.0,0,0,0,126.0,154.0,90.0,0,2,1.92,74,1.0,0.35384615384615387,1.0,0.30434782608695654,1,0
WAM_RABI25_00039,GRW_00051,2026-01-06,chickpea,Actara 25 WG,Madhya Pradesh,Ratlam,TER_0238,0.0,0.0,0,0,0,0.0,54.0,0.0,0,2,0.95,31,1.0,0.6692307692307692,1.0,0.3448275862068966,1,0
WAM_RABI25_00040,GRW_00052,2025-11-02,potato,Kavach 75 WP,Punjab,Ludhiana,TER_0447,0.0,0.0,0,1,1,0.0,79.0,0.0,0,2,1.87,35,1.0,0.3384615384615385,1.0,0.3409090909090909,0,0
WAM_RABI25_00041,GRW_00053,2025-11-10,wheat,Tilt 250 EC,West Bengal,Nadia,TER_0455,0.0,0.0,0,0,0,102.0,130.0,66.0,0,2,2.24,38,0.0,0.5461538461538461,0.0,0.30985915492957744,0,0
WAM_RABI25_00042,GRW_00054,2026-03-17,chickpea,Actara 25 WG,Punjab,Patiala,TER_0091,0.0,0.0,0,0,0,0.0,-16.0,0.0,0,2,1.64,68,1.0,0.4230769230769231,1.0,0.2909090909090909,0,0
WAM_RABI25_00043,GRW_00055,2026-02-27,wheat,Tilt 250 EC,Maharashtra,Akola,TER_0477,0.0,0.0,0,0,0,-7.0,21.0,-43.0,0,2,1.64,53,1.0,0.6230769230769231,1.0,0.4567901234567901,0,0
WAM_RABI25_00044,GRW_00056,2025-10-16,wheat,Tilt 250 EC,Maharashtra,Akola,TER_0312,0.0,0.0,0,0,0,127.0,155.0,91.0,0,2,1.83,22,0.0,0.46153846153846156,0.0,0.35,0,0
WAM_RABI25_00045,GRW_00057,2026-01-17,chickpea,Actara 25 WG,Haryana,Hisar,TER_0398,0.0,0.0,0,0,0,0.0,43.0,0.0,0,2,1.15,52,0.6,0.18461538461538463,0.5,0.4166666666666667,0,0
WAM_RABI25_00046,GRW_00058,2025-11-25,wheat,Tilt 250 EC,Maharashtra,Akola,TER_0180,0.0,0.0,0,0,0,87.0,115.0,51.0,0,2,0.71,30,0.0,0.4076923076923077,0.0,0.41509433962264153,0,0
WAM_RABI25_00047,GRW_00059,2025-10-12,chickpea,Actara 25 WG,Haryana,Rohtak,TER_0099,0.0,0.0,0,0,0,0.0,140.0,0.0,0,2,4.38,71,1.0,0.2923076923076923,1.0,0.42105263157894735,0,0
WAM_RABI25_00048,GRW_00061,2025-10-19,mustard,Score 250 EC,Uttar Pradesh,Varanasi,TER_0069,0.0,0.0,0,0,0,93.0,119.0,0.0,0,2,2.24,58,1.0,0.4461538461538462,1.0,0.3793103448275862,0,0
WAM_RABI25_00049,GRW_00062,2025-10-24,chickpea,Actara 25 WG,Punjab,Bathinda,TER_0484,0.0,0.0,0,0,0,0.0,128.0,0.0,0,2,1.37,45,1.0,0.5307692307692308,1.0,0.37681159420289856,0,0
WAM_RABI25_00050,GRW_00063,2025-10-08,mustard,Score 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0339,0.0,0.0,0,0,0,104.0,130.0,0.0,0,2,0.41,63,1.0,0.34615384615384615,1.0,0.4,0,0
WAM_RABI25_00051,GRW_00064,2025-11-06,mustard,Score 250 EC,Haryana,Karnal,TER_0357,0.0,0.0,0,0,0,75.0,101.0,0.0,0,2,2.63,63,0.0,0.6076923076923076,0.0,0.35443037974683544,1,0
WAM_RABI25_00052,GRW_00065,2025-10-10,unknown,Tilt 250 EC,Haryana,Rohtak,TER_0297,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,1.02,72,1.0,0.38461538461538464,1.0,0.34,0,0
WAM_RABI25_00053,GRW_00066,2026-01-20,mustard,Score 250 EC,Rajasthan,Bikaner,TER_0305,0.0,0.0,0,0,0,0.0,26.0,0.0,1,2,1.99,67,1.0,0.6846153846153846,1.0,0.3146067415730337,1,0
WAM_RABI25_00054,GRW_00067,2026-01-14,wheat,Tilt 250 EC,Maharashtra,Jalgaon,TER_0335,0.0,0.0,0,1,1,37.0,65.0,1.0,0,2,0.48,63,1.0,0.6153846153846154,1.0,0.35,0,0
WAM_RABI25_00055,GRW_00068,2026-03-10,wheat,Tilt 250 EC,Gujarat,Ahmedabad,TER_0012,0.0,0.0,0,0,0,-18.0,10.0,-54.0,0,2,1.64,25,1.0,0.4461538461538462,1.0,0.3275862068965517,0,0
WAM_RABI25_00056,GRW_00069,2025-10-31,mustard,Score 250 EC,Uttar Pradesh,Varanasi,TER_0465,0.0,0.0,0,0,0,81.0,107.0,0.0,0,2,0.79,36,1.0,0.6230769230769231,1.0,0.4074074074074074,0,0
WAM_RABI25_00057,GRW_00072,2026-01-29,unknown,Tilt 250 EC,Rajasthan,Bikaner,TER_0239,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,1.64,30,1.0,0.3076923076923077,1.0,0.525,0,0
WAM_RABI25_00058,GRW_00073,2025-12-05,wheat,Tilt 250 EC,Rajasthan,Bikaner,TER_0272,0.0,0.0,0,0,0,77.0,105.0,41.0,0,2,2.28,66,1.0,0.4076923076923077,1.0,0.3584905660377358,0,0
WAM_RABI25_00059,GRW_00075,2025-10-18,wheat,Tilt 250 EC,Haryana,Sirsa,TER_0214,0.0,0.0,0,0,0,125.0,153.0,89.0,0,2,2.06,69,1.0,0.5153846153846153,1.0,0.3880597014925373,0,0
WAM_RABI25_00060,GRW_00076,2026-03-14,unknown,Tilt 250 EC,Bihar,Muzaffarpur,TER_0292,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,2.74,31,1.0,0.23076923076923078,1.0,0.16666666666666666,1,0
WAM_RABI25_00061,GRW_00077,2025-11-24,wheat,Tilt 250 EC,Punjab,Amritsar,TER_0296,0.0,0.0,0,0,0,88.0,116.0,52.0,0,2,1.96,35,1.0,0.5,1.0,0.24615384615384617,0,0
WAM_RABI25_00062,GRW_00078,2025-10-08,wheat,Tilt 250 EC,Bihar,Patna,TER_0397,0.0,0.0,0,0,0,135.0,163.0,99.0,0,2,1.78,67,1.0,0.6692307692307692,1.0,0.25287356321839083,0,0
WAM_RABI25_00063,GRW_00079,2025-11-02,barley,Tilt 250 EC,Rajasthan,Bharatpur,TER_0070,0.0,0.0,0,0,0,0.0,128.0,0.0,0,2,0.46,54,1.0,0.5,1.0,0.3384615384615385,0,0
WAM_RABI25_00064,GRW_00080,2025-12-10,mustard,Score 250 EC,Uttar Pradesh,Lucknow,TER_0171,0.0,0.0,0,0,0,41.0,67.0,0.0,0,2,2.12,27,1.0,0.47692307692307695,1.0,0.4838709677419355,0,0
WAM_RABI25_00065,GRW_00082,2026-01-30,chickpea,Actara 25 WG,Punjab,Amritsar,TER_0263,0.0,0.0,0,0,0,0.0,30.0,0.0,0,2,2.13,73,1.0,0.5076923076923077,1.0,0.30303030303030304,0,0
WAM_RABI25_00066,GRW_00083,2026-01-11,chickpea,Actara 25 WG,Punjab,Amritsar,TER_0098,0.0,0.0,0,0,0,0.0,49.0,0.0,0,2,2.8,63,1.0,0.8076923076923077,1.0,0.3904761904761905,0,0
WAM_RABI25_00067,GRW_00084,2026-01-30,lentil,Tilt 250 EC,West Bengal,Bardhaman,TER_0080,0.0,0.0,0,0,0,0.0,44.0,0.0,0,2,1.28,69,0.0,0.6615384615384615,0.0,0.4186046511627907,1,0
WAM_RABI25_00068,GRW_00086,2026-02-04,potato,Kavach 75 WP,Punjab,Amritsar,TER_0098,0.0,0.0,0,0,0,0.0,-15.0,0.0,0,2,1.64,40,0.0,0.8076923076923077,0.0,0.3904761904761905,1,1
WAM_RABI25_00069,GRW_00087,2025-11-07,chickpea,Actara 25 WG,Bihar,Muzaffarpur,TER_0061,0.0,0.0,0,0,0,0.0,114.0,0.0,0,2,1.99,46,1.0,0.45384615384615384,1.0,0.4576271186440678,0,0
WAM_RABI25_00070,GRW_00088,2025-12-27,chickpea,Actara 25 WG,Haryana,Karnal,TER_0390,0.0,0.0,0,0,0,0.0,64.0,0.0,0,2,1.52,29,1.0,0.3923076923076923,1.0,0.4117647058823529,0,0
WAM_RABI25_00071,GRW_00089,2025-10-27,lentil,Tilt 250 EC,Bihar,Muzaffarpur,TER_0193,0.0,0.0,0,0,0,0.0,139.0,0.0,0,2,4.65,56,1.0,0.3,1.0,0.20512820512820512,1,0
WAM_RABI25_00072,GRW_00091,2025-10-06,chickpea,Actara 25 WG,Madhya Pradesh,Sehore,TER_0110,0.0,0.0,0,0,1,0.0,146.0,0.0,0,2,0.49,38,1.0,0.26153846153846155,1.0,0.4117647058823529,0,0
WAM_RABI25_00073,GRW_00092,2026-01-08,wheat,Tilt 250 EC,Uttar Pradesh,Varanasi,TER_0102,0.0,0.0,0,0,0,43.0,71.0,7.0,0,2,1.11,64,1.0,0.6923076923076923,1.0,0.35555555555555557,0,0
WAM_RABI25_00074,GRW_00094,2026-03-23,safflower,Score 250 EC,Maharashtra,Amravati,TER_0248,0.0,0.0,0,0,0,0.0,-31.0,0.0,0,2,1.23,73,0.0,0.3384615384615385,0.0,0.3409090909090909,1,0
WAM_RABI25_00075,GRW_00095,2026-02-19,wheat,Tilt 250 EC,Rajasthan,Sikar,TER_0472,0.0,0.0,0,0,0,1.0,29.0,-35.0,1,2,1.57,22,0.6,0.7692307692307693,0.5,0.29,0,0
WAM_RABI25_00076,GRW_00096,2025-11-23,chickpea,Actara 25 WG,Madhya Pradesh,Ratlam,TER_0106,0.0,0.0,0,0,0,0.0,98.0,0.0,0,2,1.93,52,1.0,0.3769230769230769,1.0,0.3469387755102041,0,0
WAM_RABI25_00077,GRW_00097,2025-10-22,wheat,Tilt 250 EC,Rajasthan,Bikaner,TER_0173,0.0,0.0,0,0,0,121.0,149.0,85.0,0,2,1.18,50,0.0,0.6153846153846154,0.0,0.3125,0,0
WAM_RABI25_00078,GRW_00098,2025-11-23,mustard,Score 250 EC,Haryana,Hisar,TER_0068,0.0,0.0,0,0,0,58.0,84.0,0.0,0,2,0.94,46,1.0,0.16923076923076924,1.0,0.18181818181818182,0,0
WAM_RABI25_00079,GRW_00100,2025-10-09,potato,Kavach 75 WP,Uttar Pradesh,Varanasi,TER_0366,0.0,0.0,0,0,0,0.0,103.0,0.0,0,2,1.91,25,1.0,0.3153846153846154,1.0,0.4878048780487805,1,0
WAM_RABI25_00080,GRW_00101,2025-12-18,potato,Kavach 75 WP,Uttar Pradesh,Meerut,TER_0129,0.0,0.0,0,0,0,0.0,33.0,0.0,0,2,2.32,73,1.0,0.4307692307692308,1.0,0.30357142857142855,0,0
WAM_RABI25_00081,GRW_00102,2025-10-22,wheat,Tilt 250 EC,Madhya Pradesh,Sehore,TER_0011,0.0,0.0,0,0,0,121.0,149.0,85.0,0,2,2.06,44,1.0,0.2692307692307692,1.0,0.11428571428571428,0,0
WAM_RABI25_00082,GRW_00103,2025-10-07,chickpea,Actara 25 WG,Haryana,Karnal,TER_0258,0.0,0.0,0,0,0,0.0,145.0,0.0,0,2,0.54,32,0.0,0.3230769230769231,0.0,0.30952380952380953,0,0
WAM_RABI25_00083,GRW_00104,2026-01-24,wheat,Tilt 250 EC,Uttar Pradesh,Lucknow,TER_0468,0.0,0.0,0,0,0,27.0,55.0,-9.0,0,2,1.64,42,1.0,0.6384615384615384,1.0,0.3373493975903614,1,0
WAM_RABI25_00084,GRW_00105,2026-02-04,wheat,Tilt 250 EC,Uttar Pradesh,Agra,TER_0145,0.0,0.0,0,0,0,16.0,44.0,-20.0,0,2,1.08,59,1.0,0.7769230769230769,1.0,0.38613861386138615,1,1
WAM_RABI25_00085,GRW_00106,2025-11-19,wheat,Tilt 250 EC,Bihar,Muzaffarpur,TER_0226,0.0,0.0,0,0,0,93.0,121.0,57.0,0,2,1.0,69,1.0,0.6230769230769231,1.0,0.2716049382716049,0,0
WAM_RABI25_00086,GRW_00107,2025-11-17,unknown,Tilt 250 EC,Karnataka,Kalaburagi,TER_0085,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,1.64,70,1.0,0.47692307692307695,1.0,0.22580645161290322,0,0
WAM_RABI25_00087,GRW_00109,2025-10-11,unknown,Tilt 250 EC,Haryana,Hisar,TER_0068,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,5.5,56,1.0,0.16923076923076924,1.0,0.18181818181818182,0,0
WAM_RABI25_00088,GRW_00111,2025-12-04,mustard,Score 250 EC,Haryana,Karnal,TER_0324,0.0,0.0,0,0,0,47.0,73.0,0.0,0,2,1.64,48,1.0,0.5769230769230769,1.0,0.32,0,0
WAM_RABI25_00089,GRW_00112,2025-11-08,wheat,Tilt 250 EC,Rajasthan,Jaipur,TER_0152,0.0,0.0,0,0,0,104.0,132.0,68.0,0,2,2.85,53,1.0,0.24615384615384617,1.0,0.40625,1,1
WAM_RABI25_00090,GRW_00113,2025-12-30,wheat,Tilt 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0240,0.0,0.0,0,0,0,52.0,80.0,16.0,0,2,1.64,48,0.0,0.3153846153846154,0.0,0.2682926829268293,0,0
WAM_RABI25_00091,GRW_00114,2026-01-15,wheat,Tilt 250 EC,Punjab,Bathinda,TER_0220,0.0,0.0,0,0,0,36.0,64.0,0.0,0,2,3.96,62,0.0,0.3384615384615385,0.0,0.45454545454545453,0,0
WAM_RABI25_00092,GRW_00116,2025-10-13,wheat,Tilt 250 EC,Uttar Pradesh,Varanasi,TER_0036,0.0,0.0,0,0,0,130.0,158.0,94.0,0,2,1.52,42,1.0,0.2153846153846154,1.0,0.10714285714285714,0,0
WAM_RABI25_00093,GRW_00118,2025-11-05,wheat,Tilt 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0009,0.0,0.0,0,0,0,107.0,135.0,71.0,0,2,2.96,24,1.0,0.4076923076923077,1.0,0.3018867924528302,0,0
WAM_RABI25_00094,GRW_00119,2025-10-13,unknown,Tilt 250 EC,Karnataka,Vijayapura,TER_0425,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,2.24,38,1.0,0.5,1.0,0.3384615384615385,0,0
WAM_RABI25_00095,GRW_00122,2025-12-17,potato,Kavach 75 WP,Punjab,Bathinda,TER_0022,0.0,0.0,0,0,0,0.0,34.0,0.0,0,2,0.82,64,1.0,0.38461538461538464,1.0,0.4,0,0
WAM_RABI25_00096,GRW_00124,2025-12-04,wheat,Tilt 250 EC,Karnataka,Vijayapura,TER_0293,0.0,0.0,0,0,0,78.0,106.0,42.0,0,2,0.98,70,1.0,0.4230769230769231,1.0,0.38181818181818183,0,0
WAM_RABI25_00097,GRW_00126,2025-11-10,barley,Tilt 250 EC,Rajasthan,Sikar,TER_0175,0.0,0.0,0,0,0,0.0,120.0,0.0,0,2,0.75,24,1.0,0.3230769230769231,1.0,0.38095238095238093,0,0
WAM_RABI25_00098,GRW_00128,2025-12-12,safflower,Score 250 EC,Maharashtra,Jalgaon,TER_0302,0.0,0.0,0,0,0,0.0,70.0,0.0,0,2,1.75,51,1.0,0.8692307692307693,1.0,0.4336283185840708,0,0
WAM_RABI25_00099,GRW_00129,2025-10-08,wheat,Tilt 250 EC,West Bengal,Nadia,TER_0323,0.0,0.0,0,0,1,135.0,163.0,99.0,0,2,2.39,56,0.0,0.5,0.0,0.3384615384615385,0,0
WAM_RABI25_00100,GRW_00130,2025-12-26,wheat,Tilt 250 EC,Karnataka,Vijayapura,TER_0095,0.0,0.0,0,0,0,56.0,84.0,20.0,0,2,1.0,28,1.0,0.46153846153846156,0.75,0.18333333333333332,0,0
WAM_RABI25_00101,GRW_00131,2025-10-08,barley,Tilt 250 EC,Haryana,Hisar,TER_0035,0.0,0.0,0,0,0,0.0,153.0,0.0,0,2,2.67,58,1.0,0.2923076923076923,1.0,0.3157894736842105,0,0
WAM_RABI25_00102,GRW_00133,2025-10-09,mustard,Score 250 EC,Uttar Pradesh,Lucknow,TER_0105,0.0,0.0,0,0,0,103.0,129.0,0.0,0,2,0.59,45,1.0,0.7461538461538462,1.0,0.31958762886597936,0,0
WAM_RABI25_00103,GRW_00134,2025-11-06,mustard,Score 250 EC,Gujarat,Mehsana,TER_0031,0.0,0.0,0,0,0,75.0,101.0,0.0,0,2,1.64,55,1.0,0.5153846153846153,1.0,0.373134328358209,0,0
WAM_RABI25_00104,GRW_00135,2025-10-22,wheat,Tilt 250 EC,Maharashtra,Jalgaon,TER_0368,0.0,0.0,0,0,0,121.0,149.0,85.0,0,2,1.71,69,1.0,0.35384615384615387,1.0,0.34782608695652173,0,0
WAM_RABI25_00105,GRW_00136,2025-10-26,chickpea,Actara 25 WG,Haryana,Sirsa,TER_0379,0.0,0.0,0,0,0,0.0,126.0,0.0,0,2,3.02,72,0.0,0.6461538461538462,0.0,0.2857142857142857,0,0
WAM_RABI25_00106,GRW_00137,2025-11-25,wheat,Tilt 250 EC,Rajasthan,Bharatpur,TER_0202,0.0,0.0,0,0,0,87.0,115.0,51.0,0,2,1.32,45,1.0,0.4,1.0,0.23076923076923078,0,0
WAM_RABI25_00107,GRW_00138,2026-01-13,mustard,Score 250 EC,Madhya Pradesh,Indore,TER_0320,0.0,0.0,0,0,0,7.0,33.0,0.0,1,2,0.92,69,0.0,0.33076923076923076,0.0,0.32558139534883723,0,0
WAM_RABI25_00108,GRW_00139,2026-02-16,wheat,Tilt 250 EC,Rajasthan,Jaipur,TER_0482,0.0,0.0,0,0,0,4.0,32.0,-32.0,1,2,2.02,41,1.0,0.4230769230769231,1.0,0.32727272727272727,1,0
WAM_RABI25_00109,GRW_00140,2025-11-15,wheat,Tilt 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0108,0.0,0.0,0,0,0,97.0,125.0,61.0,0,2,3.99,28,1.0,0.5153846153846153,0.75,0.3283582089552239,0,0
WAM_RABI25_00110,GRW_00141,2026-02-10,potato,Kavach 75 WP,West Bengal,Bardhaman,TER_0179,0.0,0.0,0,0,0,0.0,-21.0,0.0,0,2,1.84,47,1.0,0.5153846153846153,1.0,0.26865671641791045,0,0
